"Type de conditionnement des étiquettes";"N° de scénario";"Libellé scénario";"Délais";"Quantité minimum";"Quantité maximum";"Hauteur minimum";"Hauteur maximum";"Largeur minimum";"Largeur maximum"
"ETIQUETTES EN ROULEAUX POSE AUTO POSE MANUELLE";"892";"Couché permanent /CMJN/ Vernis Brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"928";"Couché permanent /CMJN/ Pelliculage mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"894";"Couché permanent /CMJN/ Pelliculage brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"896";"Polypropylène blanc /CMJN/ Vernis brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"898";"Polypropylène blanc /CMJN/ Pelliculage brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"900";"Polypropylène blanc /CMJN/ Pelliculage mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"902";"Polypropylène transparent/CMJNW/ Vernis brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"904";"Polypropylène transparent/CMJNW/ Pelliculage brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"906";"Polypropylène transparent/CMJNW/ Pelliculage mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"908";"Polypropylène  argent/CMJNW/ Vernis brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"910";"Polypropylène argent/CMJNW/ Pelliculage brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"912";"Polypropylène argent/CMJNW/ Pelliculage mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"914";"Couché enlevable /CMJN/ Vernis brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"920";"Papier non couché naturel Tintoretto/CMJN";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"922";"Papier perlé gaufré Jaderaster/CMJN/ Vernis brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"938";"Couché permanent RUSH/CMJN/ Vernis brillant";"Départ sous 1 jour";"25";"5000";"3 cm";"30.6";"1.5";"45"
"";"916";"Couché enlevable/CMJN/Pelliculage brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"918";"Couché enlevable/CMJN/Pelliculage mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"960";"Kraft/CMJNW/Sans Finition";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"973";"Couché permanent RUSH/CMJN/pelliculage mat";"Départ sous 1 jour";"25";"5000";"3 cm";"30.6";"1.5";"45"
"";"975";"couche permanent RUSH/CMJN/pelliculage brillant";"Départ sous 1 jour";"25";"5000";"3 cm";"30.6";"1.5";"45"
"";"981";"Couché/CMJN/Vernis mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"983";"Polypropylène blanc /CMJN/Vernis mat";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"985";"Polypropylène blanc /RUSH/CMJN/Vernis brillant";"Départ sous 1 jour";"25";"5000";"3 cm";"30.6";"1.5";"45"
"";"987";"Polypropylène blanc /RUSH/ CMJN/Pelliculage brillant";"Départ sous 1 jour";"25";"5000";"3 cm";"30.6";"1.5";"45"
"";"989";"Polypropylène  blanc RUSH/CMJN/Pelliculage mat";"Départ sous 1 jour";"25";"5000";"3 cm";"30.6";"1.5";"45"
"";"991";"Polypropylène blanc /CMJN/Pelliculage soft touch";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"1011";"Fluo Jaune/N/Sans finition ";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"954";"Polypropylène transparent vitrophanie /CMJN/ Vernis brillant";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"1019";"Canne Fiber/CMJN/Sans Finition";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"2028";"rFrozen pearl/CMJN/Sans finition";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"2025";"Couché recyclé/CMJN/Sans finition";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"";"2027";"PLA Clear/CMJNW/Sans finition";"Départ sous 3 jours";"25";"20 000";"3 cm";"30.6";"1.5";"45"
"STICKER";"946";"Sticker polypropylène épais";"Départ sous 4 jours";"50";"5000";"3 cm";"11 cm";"3 cm";"11 cm"
"PLANCHES A4 OU A5";"950";"Planche A4 PP blanc/Pelliculage mat";"Départ sous 4 jours";"50";"5000";"";"29.7";"";"21"
"";"950";"Planche A5 PP blanc/Pelliculage mat";"Départ sous 4 jours";"50";"5000";"";"21";"";"14.5"
"";"948";"Planche A4 PP blanc/Pelliculage brillant";"Départ sous 4 jours";"50";"5000";"";"29.7";"";"21"
"";"948";"Planche A5 PP blanc/Pelliculage brillant";"Départ sous 4 jours";"50";"5000";"";"21";"";"14.5"
"";"958";"Planche A4 Couché/Vernis brillant";"Départ sous 4 jours";"50";"5000";"";"29.7";"";"21"
"";"958";"Planche A5 Couché/Vernis brillant";"Départ sous 4 jours";"50";"5000";"";"21";"";"14.5"
